project,COM-1,COM-2,POP-1,STA-1,STA-2,STA-3,STA-4,STA-5,STA-6,STA-7,STA-8,STA-9,TEC-1,TEC-2,TEC-3,TEC-4,SWQ-1,SWQ-2.1,SWQ-2.2,SWQ-2.3,SWQ-2.4,SWQ-2.5,SWQ-2.6,SWQ-2.7,init,end,frequency (weeks),project_url,status
FtpServer,3646881.0218484183,399,209,13,79,57,1,1,True,-2,104,2,0,45016,79,1084,0.029199960540593865,58.62,21,0,0,6,12.282972069448938,149,2011-04-21,2023-04-24,12,https://github.com/apache/FtpServer,graduated
FreeMarker,1747141.8697292819,909,1957,9,93,247,-6,1,False,-1,197,36,0,14208,479,3026,0.004749841671944269,73.69,3,13,7,26,8.664883671392394,264,2015-09-04,2023-05-20,12,https://github.com/apache/FreeMarker,graduated
Giraph,1298573.5597413937,8018,1522,13,50,302,2,4,True,-8,298,57,0,39915,9,1165,0.020250723240115717,18.19,42,0,2,19,7.823909503213266,179,2011-08-28,2023-04-14,12,https://github.com/apache/Giraph,graduated
Hama,2016328.7287991385,5965,337,14,71,75,1,2,False,-1,124,25,0,77305,553,1171,0.003947085927565193,13.52,30,0,2,4,10.13187927973624,170,2010-08-25,2020-02-11,12,https://github.com/apache/Hama,graduated
Harmony,1158840.38778382,1028,189,14,364,37,PRs missing,1,False,-8,Commits or Issues or PRs missing,14,0,PRs missing,61,1389,0.07446035699460357,63.54,0,50,126,349,16.962352511435896,3730,2010-05-26,2011-10-30,12,https://github.com/apache/Harmony,graduated
Geronimo,5353122.073008941,19,92,15,352,22,5,4,False,-9,32,25,0,34872,1082,15550,0.002156340654169422,24.98,0,4,10,60,19.009156786611573,350,2009-07-01,2023-04-17,12,https://github.com/apache/Geronimo,graduated
HCatalog,1505300.596588132,3988,169,13,52,47,1,2,True,-3,93,9,0,-1,593,113,0.10196394942157654,82.43,24,2,0,3,6.890167294848905,156,2011-04-14,2023-04-14,12,https://github.com/apache/HCatalog,graduated
Helix,3831464.957144224,4539,1053,10,85,207,74,6,False,5,211,86,1352,29776,254,4719,0.015257641065830722,84.84,32,1,7,21,7.642750213857998,393,2014-01-13,2023-06-01,12,https://github.com/apache/Helix,graduated
Impala,6864444.1254755845,34394,2384,8,77,464,0,16,False,6,855,172,0,41131,1216,10730,0.030396876312497982,21.44,0,13,77,126,40.737250817778495,907,2016-04-13,2023-06-01,12,https://github.com/apache/Impala,graduated
Isis,10178092.57520137,28326,1864,12,-721,300,134,2,False,2,170,57,8032,27130,450,23842,0.0028122822347827047,10.42,37,1,41,13,7.144350955692817,616,2012-11-30,2023-06-02,12,https://github.com/apache/Isis,graduated
Jackrabbit,2115730.915356426,63994,819,15,612,205,0,3,False,-9,949,39,0,79935,927,13695,0.1011803549319026,47.86,0,22,14,65,11.3925981053004,619,2009-05-21,2023-07-08,12,https://github.com/apache/Jackrabbit,graduated
jclouds,4734377.477020818,5993,438,10,103,116,3,3,False,-19,657,210,489,44411,538,12046,0.010529361445176874,79.02,12,4,1,16,11.570496417604913,210,2014-01-07,2023-05-10,12,https://github.com/apache/jclouds,graduated
Johnzon,3129026.355283184,1058,152,10,48,66,6,2,False,0,131,35,0,49838,78,939,0.060810810810810814,110.17,29,5,2,12,8.52731177802287,225,2014-09-11,2023-05-22,12,https://github.com/apache/Johnzon,graduated
Joshua,5767237.8681283165,611,267,8,209,65,-24,3,True,-12,62,32,0,79127,242,4139,0.0007553578025152863,11.1,25,5,8,22,20.812156280136577,429,2016-03-25,2021-11-13,12,https://github.com/apache/Joshua,graduated
JSPWiki,6843573.695720203,2940,280,15,138,94,14,1,False,0,220,22,0,80048,528,9610,0.006357866365256705,23.25,41,0,7,5,9.989461340933042,124,2009-03-27,2023-05-30,12,https://github.com/apache/JSPWiki,graduated
Juneau,17538999.42266667,523,184,8,208,40,5,1,False,-7,53,20,1062,34581,305,2825,0.00022971280430109878,63.77,0,13,11,35,24.59108607829816,403,2016-08-02,2023-06-01,12,https://github.com/apache/Juneau,graduated
Knox,3960454.214870292,10713,565,10,68,235,2,4,False,0,412,90,463,54166,90,3083,0.0562722909603276,76.56,44,1,6,6,31.015159408872,305,2014-03-01,2023-05-31,12,https://github.com/apache/Knox,graduated
Kudu,9235713.623403035,7543,4048,8,268,634,5,4,False,-7,518,167,0,76625,1760,9413,0.021774045239992643,21.63,0,5,58,88,8.179514773392908,317,2016-01-29,2023-06-01,12,https://github.com/apache/Kudu,graduated
Geode,3974051.98329853,57677,5095,9,65,679,-7,3,False,-22,590,253,571,6269,1807,11478,0.024234364854166853,22.39,0,8,73,179,16.54115275848678,1599,2015-04-30,2023-06-18,12,https://github.com/apache/Geode,graduated
Lucy,3056614.7383840824,480,220,13,226,26,0,2,False,-4,37,11,0,48161,24,3417,0.006492266564827191,19.95,14,14,8,25,9.83782815159932,512,2011-11-19,2018-03-15,12,https://github.com/apache/Lucy,graduated
Lens,1869857.867993928,9166,218,10,156,100,-5,3,False,-15,165,82,0,35949,100,2370,0.03259259259259259,68.34,36,3,5,12,4.490207526139802,185,2014-11-12,2020-06-15,12,https://github.com/apache/Lens,graduated
MRUnit,1853120.4706450012,1148,103,13,24,27,0,2,True,-1,95,15,0,-1,53,282,0.06936416184971098,143.51,1,0,0,0,21.055959532089787,90,2011-03-26,2016-05-12,12,https://github.com/apache/MRUnit,graduated
